rank,task_key,subject,math_level,empirical_tier,empirical_tier_short,source_file,source_file_note,gpt4_fn_snaps_solved,n_models_functional_any,solvability_0to1,answer_type,n_distinct_answers_3seeds
1,algebra/24,algebra,1,1,easy,benchmarks/algebra/m24.py,exact,3,6,0.8,int,3
2,counting_and_probability/0,counting_and_probability,1,1,easy,benchmarks/counting_and_probability/m0.py,exact,3,8,0.8667,fraction,3
3,counting_and_probability/247,counting_and_probability,1,1,easy,benchmarks/counting_and_probability/m247.py,exact,3,9,0.9,int,2
4,geometry/484,geometry,1,1,easy,benchmarks/geometry/m484.py,exact,3,10,0.9333,int,3
5,intermediate_algebra/398,intermediate_algebra,1,1,easy,benchmarks/intermediate_algebra/m398.py,exact,3,5,0.7667,int,3
6,intermediate_algebra/497,intermediate_algebra,1,1,easy,benchmarks/intermediate_algebra/m497.py,exact,3,10,0.9333,int,2
7,intermediate_algebra/709,intermediate_algebra,1,1,easy,benchmarks/intermediate_algebra/m709.py,exact,3,4,0.7333,fraction,3
8,precalculus/31,precalculus,1,1,easy,benchmarks/precalculus/m31.py,exact,3,5,0.7667,int,3
9,algebra/55,algebra,1,2,moderate,benchmarks/algebra/m55.py,exact,2,2,0.4667,fraction,3
10,algebra/123,algebra,1,2,moderate,benchmarks/algebra/m123.py,exact,3,2,0.6667,int,3
11,algebra/440,algebra,1,2,moderate,benchmarks/algebra/m440.py,exact,2,2,0.4667,int,3
12,counting_and_probability/7,counting_and_probability,1,2,moderate,benchmarks/counting_and_probability/m7.py,exact,2,5,0.5667,int,3
13,geometry/15,geometry,1,2,moderate,benchmarks/geometry/m15.py,exact,3,3,0.7,int,3
14,geometry/152,geometry,1,2,moderate,benchmarks/geometry/m152.py,exact,3,3,0.7,fraction,3
15,number_theory/185,number_theory,1,2,moderate,benchmarks/number_theory/m185.py,exact,3,3,0.7,int,3
16,counting_and_probability/162,counting_and_probability,1,3,hard,benchmarks/counting_and_probability/m162.py,exact,1,3,0.3,fraction,3
17,geometry/40,geometry,1,3,hard,benchmarks/geometry/m40.py,exact,0,3,0.1,expression,3
18,geometry/47,geometry,1,3,hard,benchmarks/geometry/m47.py,exact,0,4,0.1333,int,3
19,intermediate_algebra/254,intermediate_algebra,1,3,hard,benchmarks/intermediate_algebra/m254.py,exact,0,5,0.1667,expression,3
20,intermediate_algebra/441,intermediate_algebra,1,3,hard,benchmarks/intermediate_algebra/m441.py,exact,1,5,0.3667,int,2
21,number_theory/12,number_theory,1,3,hard,benchmarks/number_theory/m12.py,exact,1,7,0.4333,int,3
22,precalculus/109,precalculus,1,3,hard,benchmarks/precalculus/m109.py,exact,0,7,0.2333,int,3
23,geometry/310,geometry,1,4,very hard,benchmarks/geometry/m310.py,exact,0,1,0.0333,fraction,2
24,geometry/855,geometry,1,4,very hard,benchmarks/geometry/m855.py,exact,0,1,0.0333,int,3
25,intermediate_algebra/611,intermediate_algebra,1,4,very hard,benchmarks/intermediate_algebra/m611.py,exact,0,1,0.0333,int,3
26,intermediate_algebra/734,intermediate_algebra,1,4,very hard,benchmarks/intermediate_algebra/m734.py,exact,0,1,0.0333,fraction,3
27,prealgebra/1048,prealgebra,1,4,very hard,benchmarks/prealgebra/m1048.py,exact,0,1,0.0333,fraction,3
28,precalculus/623,precalculus,1,4,very hard,benchmarks/precalculus/m623.py,exact,0,1,0.0333,fraction,3
29,algebra/10,algebra,1,5,frontier-hard,benchmarks/algebra/m10.py,exact,0,0,0.0,int,3
30,geometry/17,geometry,1,5,frontier-hard,benchmarks/geometry/m17.py,exact,0,0,0.0,int,3
31,intermediate_algebra/194,intermediate_algebra,1,5,frontier-hard,benchmarks/intermediate_algebra/m194.py,exact,0,0,0.0,int,3
32,number_theory/5,number_theory,1,5,frontier-hard,benchmarks/number_theory/m5.py,exact,0,0,0.0,int,3
33,prealgebra/211,prealgebra,1,5,frontier-hard,benchmarks/prealgebra/m211.py,exact,0,0,0.0,int,3
34,prealgebra/946,prealgebra,1,5,frontier-hard,benchmarks/prealgebra/m946.py,exact,0,0,0.0,fraction,3
35,precalculus/56,precalculus,1,5,frontier-hard,benchmarks/precalculus/m56.py,exact,0,0,0.0,int,3
36,counting_and_probability/107,counting_and_probability,2,1,easy,benchmarks/counting_and_probability/m107.py,exact,3,8,0.8667,int,3
